País,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto,Destacado,Ingresados Si/No
México,130421335,F,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421640,F,Ing. Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,130421672,F,Ing. Mecánica,10,10,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,130421114,M,Ing. Mecánica,6,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,130421396,M,Ing. Mecánica,7,10,,,,,,,,,,,,,,
México,130421515,M,Ing. Mecatrónica/Electrónica,10,10,Si,Si,Si,Recommend,Do Not Recommend,Highly Recommend,Recommend,Highly Recommend,,,,,,
México,130421768,M,Ing. Tecnologías Computacionales,9,10,,,,,,,,,,,,,,
México,130421525,M,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421273,M,Ing. Mecánica,6,10,Si,Si,,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421056,M,Ing. Materiales,10,10,Si,Si,Si,Do Not Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,,,A1 - Low Beginner,,,
México,130421514,M,Ing. Aeronáutica,10,10,Si,,,,,,,,,,,,,
México,130421429,M,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421058,M,Ing. Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,130421204,F,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421501,F,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421113,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421018,F,Ing. Materiales,5,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,Highly Recommend,,,,,,
México,130421493,F,Ing. Mecánica,Egresado,10,Si,,,,,,,,,,,,,
México,130421562,F,Ing. Mecánica,7,10,,,,,,,,,,,,,,
México,130421575,M,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421195,M,Ing. Aeronáutica,8,10,Si,,,,,,,,,,,,,
México,130421590,M,Ing. Aeronáutica,8,10,Si,Si,Si,Recommend,Highly Recommend,Recommend,Highly Recommend,Do Not Recommend,,,A2 - High Beginner,,,
México,130421054,M,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421284,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421388,M,Ing. Manufactura,7,10,,,,,,,,,,,,,,
México,130421620,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,,,,,,,,,,,
México,130421460,M,Ing. Mecánica,5,10,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,130421629,M,Ing. Aeronáutica,6,10,,,,,,,,,,,,,,
México,130421427,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421475,M,Ing. Aeronáutica,8,10,,,,,,,,,,,,,,
México,130421568,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421353,F,Ing. Tecnologías Computacionales,Egresado,10,Si,,,,,,,,,,,,,
México,130421478,M,Ing. Mecánica,6,10,Si,Si,,,,,,,,,,,,
México,130421095,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,130421196,F,Ing. Aeronáutica,9,10,,,,,,,,,,,,,,
México,130421251,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421233,F,Ing. Tecnologías Computacionales,8,10,,,,,,,,,,,,,,
México,130421763,F,Ing. Materiales,7,10,Si,,,,,,,,,,,,,
México,130421381,F,Ing. Mecánica,6,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421356,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421111,F,Ing. Materiales,6,10,Si,Si,,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421520,F,Ing. Manufactura,10,10,Si,,,,,,,,,,,,,
México,130421450,M,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421507,F,Ing. Mecatrónica/Electrónica,7,10,,,,,,,,,,,,,,
México,130421387,F,Ing. Mecatrónica/Electrónica,6,10,,,,,,,,,,,,,,
México,130421186,F,Ing. Manufactura,9,10,,,,,,,,,,,,,,
México,130421649,M,Ing. Aeronáutica,Egresado,10,Si,,,,,,,,,,,,,
México,130421057,M,Ing. Mecatrónica/Electrónica,7,10,,,,,,,,,,,,,,
México,130421682,M,Ing. Manufactura,7,10,,,,,,,,,,,,,,
México,130421675,M,Ing. Mecánica,Egresado,10,Si,,,,,,,,,,,,,
México,130421084,M,Ing. Mecánica,9,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,130421146,M,Ing. Mecánica,9,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421414,M,Ing. Materiales,9,10,Si,Si,Si,Highly Recommend,Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,Apto,Destacado,B2 - High Intermediate,Apto,Si,Si
México,130421010,M,Ing. Materiales,10,10,Si,Si,Si,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,130421036,M,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421134,M,Ing. Tecnologías Computacionales,8,10,,,,,,,,,,,,,,
México,130421390,M,Ing. Mecánica,6,10,Si,Si,,,,,,,,,,,,
México,130421597,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421439,M,Ing. Mecatrónica/Electrónica,6,10,,,,,,,,,,,,,,
México,130421527,M,Ing. Mecatrónica/Electrónica,8,10,Si,,,,,,,,,,,,,
México,130421619,M,Ing. Mecatrónica/Electrónica,10,10,Si,Si,,,,,,,,,,,,
México,130421042,M,Ing. Materiales,6,10,,,,,,,,,,,,,,
México,130421122,M,Ing. Mecánica,6,10,,,,,,,,,,,,,,
México,130421497,M,Ing. Tecnologías Computacionales,7,10,,,,,,,,,,,,,,
México,130421772,M,Ing. Aeronáutica,8,10,Si,,,,,,,,,,,,,
México,130421187,M,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421379,M,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421560,F,Ing. Mecánica,5,10,,,,,,,,,,,,,,
México,130421001,F,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421598,F,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,130421227,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421290,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421383,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,,,,,,,,,,,
México,130421574,M,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421481,M,Ing. Mecánica,9,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421551,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,A2 - High Beginner,,,
México,130421600,M,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421581,F,Ing. Materiales,8,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421347,F,Ing. Mecánica,6,10,,,,,,,,,,,,,,
México,130421093,M,Ing. Mecatrónica/Electrónica,10,10,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Apto,,A1 - Low Beginner,Apto,,Si
México,130421737,M,Ing. Materiales,8,10,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421066,M,Ing. Materiales,8,10,,,,,,,,,,,,,,
México,130421511,M,Ing. Mecánica,6,10,Si,Si,,,,,,,,,,,,
México,130421419,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,130421303,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421459,M,Ing. Mecatrónica/Electrónica,10,10,,,,,,,,,,,,,,
México,130421065,M,Ing. Aeronáutica,6,10,Si,,,,,,,,,,,,,
México,130421752,F,Ing. Mecánica,8,10,Si,Si,,Do Not Recommend,Recommend,Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421488,M,Ing. Tecnologías Computacionales,8,10,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,130421669,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421354,M,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421547,M,Ing. Mecánica,8,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421117,M,Ing. Mecánica,6,10,Si,Si,Si,Highly Recommend,Highly Recommend,Recommend,Do Not Recommend,Recommend,,,A2 - High Beginner,,,
México,130421374,M,Ing. Mecatrónica/Electrónica,6,10,,,,,,,,,,,,,,
México,130421138,M,Ing. Mecánica,5,10,,,,,,,,,,,,,,
México,130421106,M,Ing. Mecatrónica/Electrónica,10,10,,,,,,,,,,,,,,
México,130421239,M,Ing. Mecánica,6,10,Si,,,,,,,,,,,,,
México,130421696,M,Ing. Mecánica,5,10,,,,,,,,,,,,,,
México,130421599,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,Do Not Recommend,,,,,,
México,130421189,M,Ing. Mecánica,6,10,,,,,,,,,,,,,,
México,130421627,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421071,M,Ing. Aeronáutica,6,10,Si,,,,,,,,,,,,,
México,130421115,F,Ing. Tecnologías Computacionales,7,10,,,,,,,,,,,,,,
México,130421263,F,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421665,M,Ing. Física,8,10,,,,,,,,,,,,,,
México,130421188,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421426,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,Highly Recommend,,,,,,
México,130421569,M,Ing. Tecnologías Computacionales,7,10,,,,,,,,,,,,,,
México,130421120,M,Ing. Mecatrónica/Electrónica,4,10,,,,,,,,,,,,,,
México,130421357,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421308,M,Ing. Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,130421006,M,Ing. Mecánica,10,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421276,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421377,F,Ing. Manufactura,9,10,,,,,,,,,,,,,,
México,130421561,F,Ing. Mecánica,6,10,,,,,,,,,,,,,,
México,130421352,M,Ing. Mecatrónica/Electrónica,7,10,,,,,,,,,,,,,,
México,130421766,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421274,M,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421256,M,Ing. Mecánica,7,10,Si,Si,,,,,,,,,,,,
México,130421539,F,Ing. Mecánica,6,10,Si,Si,,,,,,,,,,,,
México,130421322,F,Ing. Mecánica,7,10,,,,,,,,,,,,,,
México,130421287,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,130421485,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421226,F,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421430,F,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,Recommend,Recommend,Do Not Recommend,Recommend,Highly Recommend,,,,,,
México,130421392,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421277,F,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421508,F,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421407,M,Ing. Materiales,5,10,,,,,,,,,,,,,,
México,130421566,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421050,M,Ing. Mecánica,7,10,,,,,,,,,,,,,,
México,130421531,F,Ing. Mecánica,8,10,Si,Si,,,,,,,,,,,,
México,130421440,M,Ing. Mecatrónica/Electrónica,6,10,Si,Si,Si,Do Not Recommend,Recommend,Highly Recommend,Highly Recommend,Do Not Recommend,,,,,,
México,130421384,M,Ing. Mecatrónica/Electrónica,8,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421652,F,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421141,F,Ing. Tecnologías Computacionales,8,10,,,,,,,,,,,,,,
México,130421747,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421003,M,Ing. Manufactura,10,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,,,,,,
México,130421759,M,Ing. Mecánica,8,10,,,,,,,,,,,,,,
México,130421684,M,Ing. Mecatrónica/Electrónica,6,10,,,,,,,,,,,,,,
México,130421513,M,Ing. Mecánica,10,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421007,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,130421492,F,Ing. Manufactura,10,10,Si,,,,,,,,,,,,,
México,130421371,F,Ing. Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,130421041,F,Ing. Mecánica,7,10,,,,,,,,,,,,,,
México,130421454,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421463,F,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421294,F,Ing. Mecatrónica/Electrónica,6,10,,,,,,,,,,,,,,
México,130421529,F,Ing. Aeronáutica,6,10,,,,,,,,,,,,,,
México,130421643,F,Ing. Mecánica,9,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421081,F,Ing. Tecnologías Computacionales,8,10,,,,,,,,,,,,,,
México,130421070,F,Ing. Materiales,10,10,,,,,,,,,,,,,,
México,130421528,M,Ing. Materiales,6,10,Si,Si,Si,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,130421029,M,Ing. Mecatrónica/Electrónica,10,10,,,,,,,,,,,,,,
México,130421267,M,Ing. Mecánica,9,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,130421028,F,Ing. Tecnologías Computacionales,9,10,,,,,,,,,,,,,,
México,130421673,M,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421085,F,Ing. Mecatrónica/Electrónica,5,10,,,,,,,,,,,,,,
México,130421615,M,Ing. Mecatrónica/Electrónica,9,10,,,,,,,,,,,,,,
México,130421133,M,Ing. Mecánica,6,10,,,,,,,,,,,,,,
México,130421162,F,Ing. Mecánica,9,10,,,,,,,,,,,,,,
México,130421416,M,Ing. Mecatrónica/Electrónica,9,10,Si,Si,Si,Do Not Recommend,Do Not Recommend,Recommend,Highly Recommend,Do Not Recommend,,,A2 - High Beginner,,,
México,130421336,F,Ing. Mecatrónica/Electrónica,8,10,,,,,,,,,,,,,,
México,130421359,F,Ing. Mecánica,7,10,,,,,,,,,,,,,,
México,130421541,F,Ing. Mecánica,7,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Recommend,Do Not Recommend,,,False Beginner,,,
México,130421200,M,Ing. Mecánica,8,10,Si,Si,Si,Highly Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,,,A2 - High Beginner,,,
México,130421705,F,Ing. Tecnologías Computacionales,9,10,,,,,,,,,,,,,,
México,130421298,F,Ing. Materiales,10,10,,,,,,,,,,,,,,
México,130421408,F,Ing. Mecatrónica/Electrónica,6,10,,,,,,,,,,,,,,
México,130421740,M,Ing. Mecatrónica/Electrónica,7,10,Si,Si,,,,,,,,,,,,
México,130421012,M,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421323,F,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421655,F,Ing. Mecánica,10,10,,,,,,,,,,,,,,
México,130421032,F,Ing. Mecatrónica/Electrónica,10,10,,,,,,,,,,,,,,
México,140421001,M,Ing. Química,Egresado,,Si,,,,,,,,,,,,,
México,140421002,F,Ing. Mecánica,Egresado,,,,,,,,,,,,,,,
México,140421003,M,Ing. Mecatrónica/Electrónica,Egresado,,Si,,,,,,,,,,,,,
México,140421004,M,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421005,F,Ing. Industrial,Egresado,,,,,,,,,,,,,,,
México,140421006,M,Tecnologías Computacionales,Egresado,,Si,,,,,,,,,,,,,
México,140421007,M,Ing. Mecatrónica/Electrónica,Egresado,,Si,,,,,,,,,,,,,
México,140421008,F,Ing. Química,Egresado,,,,,,,,,,,,,,,
México,140421009,M,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421010,M,Ing. Mecatrónica/Electrónica,Egresado,,Si,,,,,,,,,,,,,
México,140421011,F,Ing. Ambiental ,Egresado,,,,,,,,,,,,,,,
México,140421012,M,Administración,,,Si,,,,,,,,,,,,,
México,140421013,F,Ing. Industrial,,,Si,Si,,,,,,,,,,,,
México,140421014,M,Ing. Mecánica,Egresado,,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Highly Recommend,Highly Recommend,,,C2 - Mastery,,,
México,140421016,M,Ing. Mecánica,Egresado,,,,,,,,,,,,,,,
México,140421017,F,Ing. Ambiental,,,,,,,,,,,,,,,,
México,140421018,M,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421019,M,Ing. Química,,,,,,,,,,,,,,,,
México,140421020,F,Ing. Química,Egresado,,,,,,,,,,,,,,,
México,140421021,M,Ing. Mecánica,,,Si,,,,,,,,,,,,,
México,140421022,M,Ing. Mecatrónica/Electrónica,,,Si,,,,,,,,,,,,,
México,140421023,F,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421024,F,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421025,M,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421026,M,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421027,M,Ing. Química,,,,,,,,,,,,,,,,
México,140421028,F,Ing. Manufactura,,,,,,,,,,,,,,,,
México,140421030,F,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421031,M,Ing. Industrial,Egresado,,Si,,,,,,,,,,,,,
México,140421032,F,Ing. Química,Egresado,,,,,,,,,,,,,,,
México,140421033,M,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421034,F,Ing. Química,Egresado,,,,,,,,,,,,,,,
México,140421036,M,Ing. Mecánica,Egresado,,Si,,,,,,,,,,,,,
México,140421037,M,Ing. Mecatrónica/Electrónica,,,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Recommend,Do Not Recommend,,,,,,
México,140421038,M,Ing. Industrial,Egresado,,Si,,,,,,,,,,,,,
México,140421040,M,Ing. Física,Egresado,,Si,,,,,,,,,,,,,
México,140421042,M,Ing. Industrial,Egresado,,Si,,,,,,,,,,,,,
México,140421045,M,Economía/Finanzas,,,,,,,,,,,,,,,,
México,140421046,F,Ing. Industrial,,,,,,,,,,,,,,,,
México,140421047,M,Ing. Mecánica,Egresado,,,,,,,,,,,,,,,
México,140421048,M,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421049,M,Ing. Mecánica,Egresado,,Si,,,,,,,,,,,,,
México,140421050,M,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421051,M,Ing. Industrial,,,,,,,,,,,,,,,,
México,140421052,M,Ing. Nanotecnología,,,,,,,,,,,,,,,,
México,140421053,M,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421054,F,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421055,F,Ing. Ambiental,Egresado,,,,,,,,,,,,,,,
México,140421056,F,Ing. Química,,,,,,,,,,,,,,,,
México,140421058,M,Ing. Mecánica,,,,,,,,,,,,,,,,
México,140421060,M,Ing. Industrial,,,Si,Si,Si,Highly Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,,,A1 - Low Beginner,,,
México,140421061,M,Ing. Industrial,Egresado,,,,,,,,,,,,,,,
México,140421062,F,Ing. Mecatrónica/Electrónica,Egresado,,Si,,,,,,,,,,,,,
México,140421063,M,Ing. Química,Egresado,,,,,,,,,,,,,,,
México,140421064,M,Ing. Energía,,,,,,,,,,,,,,,,
México,140421065,M,Ing. Mecatrónica/Electrónica,Egresado,,,,,,,,,,,,,,,
México,140421067,M,Ing. Mecánica,,,,,,,,,,,,,,,,
México,140421068,M,Ing. Mecatrónica/Electrónica,,,,,,,,,,,,,,,,
México,140421070,M,Ing. Industrial,,,,,,,,,,,,,,,,
México,140421071,M,Ing. Mecánica,,,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,140421074,F,Ing. Ambiental,,,,,,,,,,,,,,,,
México,140421080,F,Ing. Industrial,,,Si,,,,,,,,,,,,,
México,140421081,M,Ing. Industrial,,,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,140421082,F,Ing. Mecánica,,,Si,Si,Si,Highly Recommend,Highly Recommend,Recommend,Highly Recommend,Do Not Recommend,,,B2 - High Intermediate,,,
México,150421001,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421002,M,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421003,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421004,F,Ing. Geología,9,9,,,,,,,,,,,,,,
México,150421005,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421006,F,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421007,F,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421008,F,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421009,M,Ing. Geología,9,9,,,,,,,,,,,,,,
México,150421010,F,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421011,F,Ing. Geología,9,9,,,,,,,,,,,,,,
México,150421012,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421013,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421014,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421015,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421016,F,Ing. Geología,9,9,,,,,,,,,,,,,,
México,150421017,F,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421018,F,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421019,F,Ing. Metalúrgica,9,9,Si,,,,,,,,,,,,,
México,150421020,M,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421021,F,Ing. Geología,9,9,,,,,,,,,,,,,,
México,150421022,M,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421023,F,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421024,M,Ing. Geología,8,9,,,,,,,,,,,,,,
México,150421025,M,Ing. Geología,7,9,,,,,,,,,,,,,,
México,150421026,F,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421027,M,Ing. Metalúrgica,11,9,Si,,,,,,,,,,,,,
México,150421028,M,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421029,F,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421030,M,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421031,M,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421032,M,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421033,M,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421034,M,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421035,M,Ing. Metalúrgica,10,9,,,,,,,,,,,,,,
México,150421036,F,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421037,F,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421038,F,Ing. Metalúrgica,11,9,,,,,,,,,,,,,,
México,150421039,M,Ing. Metalúrgica,7,9,,,,,,,,,,,,,,
México,150421040,M,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421041,M,Ing. Metalúrgica,8,9,,,,,,,,,,,,,,
México,150421042,F,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421043,M,Ing. Minas,5,9,,,,,,,,,,,,,,
México,150421044,M,Ing. Minas,8,9,,,,,,,,,,,,,,
México,150421045,F,Ing. Minas,8,9,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,150421046,F,Ing. Geología,9,9,,,,,,,,,,,,,,
México,150421047,M,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421048,M,Ing. Minas,7,9,,,,,,,,,,,,,,
México,150421049,F,Ing. Minas,7,9,,,,,,,,,,,,,,
México,150421050,M,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421051,M,Ing. Minas,7,9,,,,,,,,,,,,,,
México,150421052,M,Ing. Minas,7,9,,,,,,,,,,,,,,
México,150421053,M,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421054,M,Ing. Minas,6,9,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,150421055,M,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421056,M,Ing. Minas,8,9,,,,,,,,,,,,,,
México,150421057,M,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421058,F,Ing. Minas,5,9,,,,,,,,,,,,,,
México,150421059,M,Ing. Minas,7,9,Si,,,,,,,,,,,,,
México,150421060,F,Ing. Minas,9,9,,,,,,,,,,,,,,
México,150421061,F,Ing. Minas,8,9,,,,,,,,,,,,,,
México,150421062,F,Ing. Minas,8,9,,,,,,,,,,,,,,
México,150421063,M,Ing. Minas,7,9,Si,Si,,Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,150421064,M,Ing. Metalúrgica,9,9,,,,,,,,,,,,,,
México,150421065,M,Ing. Metalúrgica,10,9,,,,,,,,,,,,,,
México,150421066,M,Ing. Minas,8,9,,,,,,,,,,,,,,
México,150421067,M,Ing. Minas,7,9,,,,,,,,,,,,,,
México,150421068,F,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421069,M,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421070,M,Ing. Minas,6,9,,,,,,,,,,,,,,
México,150421071,M,Ing. Geología,8,9,,,,,,,,,,,,,,
